[1] Total Num: 3000, acc: 6.116258831927871 
[2] Total Num: 3000, acc: 6.2614480271761455 
[3] Total Num: 3000, acc: 5.292388868322766 
[4] Total Num: 3000, acc: 5.156799093392295 
[5] Total Num: 3000, acc: 4.836897734374368 
[6] Total Num: 3000, acc: 4.917401208444628 
[7] Total Num: 3000, acc: 5.328690161425822 
[8] Total Num: 3000, acc: 4.73950325928132 
[9] Total Num: 3000, acc: 4.7324253716771185 
[10] Total Num: 3000, acc: 4.756243134245195 
[11] Total Num: 3000, acc: 4.672756249725732 
[12] Total Num: 3000, acc: 4.682051471861355 
[13] Total Num: 3000, acc: 4.791975954808024 
[14] Total Num: 3000, acc: 4.771893834512539 
[15] Total Num: 3000, acc: 4.8843873794908195 
[16] Total Num: 3000, acc: 4.670732224447781 
[17] Total Num: 3000, acc: 4.84061707498218 
