[1] Total Num: 3000, acc: 5.204330100811697 
[2] Total Num: 3000, acc: 5.307386570953503 
[3] Total Num: 3000, acc: 5.708916889732054 
[4] Total Num: 3000, acc: 5.053170061144463 
[5] Total Num: 3000, acc: 5.208568163496971 
[6] Total Num: 3000, acc: 4.762858275220396 
[7] Total Num: 3000, acc: 4.169884153474514 
[8] Total Num: 3000, acc: 4.755938607816145 
[9] Total Num: 3000, acc: 4.7436581611269215 
[10] Total Num: 3000, acc: 4.9858211282492135 
[11] Total Num: 3000, acc: 5.050888233513019 
[12] Total Num: 3000, acc: 4.973069311271732 
[13] Total Num: 3000, acc: 4.54524209103563 
[14] Total Num: 3000, acc: 4.976660567992188 
[15] Total Num: 3000, acc: 4.698147130135296 
[16] Total Num: 3000, acc: 5.133417415240085 
[17] Total Num: 3000, acc: 5.038120004668193 
