[1] Total Num: 3000, acc: 8.395814007317906 
[2] Total Num: 3000, acc: 7.146830898177194 
[3] Total Num: 3000, acc: 6.448629424333308 
[4] Total Num: 3000, acc: 5.841368324961283 
[5] Total Num: 3000, acc: 6.365211164247921 
[6] Total Num: 3000, acc: 6.765755520253549 
[7] Total Num: 3000, acc: 6.847467207887249 
[8] Total Num: 3000, acc: 6.684287648574106 
[9] Total Num: 3000, acc: 6.813477904397601 
[10] Total Num: 3000, acc: 6.984657736381687 
[11] Total Num: 3000, acc: 6.683247400524994 
[12] Total Num: 3000, acc: 6.7513364242657525 
[13] Total Num: 3000, acc: 7.189019055662423 
[14] Total Num: 3000, acc: 6.758607902424139 
[15] Total Num: 3000, acc: 6.85739220368161 
[16] Total Num: 3000, acc: 7.271064747711338 
[17] Total Num: 3000, acc: 6.8470163163661555 
